Time,Utilization (%)
2024-01-23 21:24:13,0.4883
2024-01-23 21:23:13,0.4899
2024-01-23 21:22:13,0.4888
2024-01-23 21:21:13,0.4905
2024-01-23 21:20:13,0.4798
2024-01-23 21:19:13,0.4838
2024-01-23 21:18:13,0.4797
2024-01-23 21:17:13,0.4981
2024-01-23 21:16:13,0.4937
2024-01-23 21:15:13,0.5696
2024-01-23 21:14:13,0.4803
2024-01-23 21:13:13,0.4826
2024-01-23 21:12:13,0.4841
2024-01-23 21:11:13,0.4884
2024-01-23 21:10:13,0.4768
2024-01-23 21:09:13,0.4826
2024-01-23 21:08:13,0.4771
2024-01-23 21:07:13,0.4882
2024-01-23 21:06:13,0.4962
2024-01-23 21:05:13,0.4982
2024-01-23 21:04:13,0.4944
2024-01-23 21:03:13,0.4952
2024-01-23 21:02:13,0.4940
2024-01-23 21:01:13,0.5127
2024-01-23 21:00:13,0.4776
2024-01-23 20:59:13,0.4810
2024-01-23 20:58:13,0.4741
2024-01-23 20:57:13,0.4851
2024-01-23 20:56:13,0.4791
2024-01-23 20:55:13,0.4957
2024-01-23 20:54:13,0.4750
2024-01-23 20:53:13,0.4836
2024-01-23 20:52:13,0.4760
2024-01-23 20:51:13,0.4813
2024-01-23 20:50:13,0.4694
2024-01-23 20:49:13,0.4805
2024-01-23 20:48:13,0.4707
2024-01-23 20:47:13,0.4782
2024-01-23 20:46:13,0.4769
2024-01-23 20:45:13,0.4797
2024-01-23 20:44:13,0.4702
2024-01-23 20:43:13,0.4931
2024-01-23 20:42:13,0.4714
2024-01-23 20:41:13,0.5436
2024-01-23 20:40:13,0.4641
2024-01-23 20:39:13,0.4764
2024-01-23 20:38:13,0.4692
2024-01-23 20:37:13,0.4793
2024-01-23 20:36:13,0.4693
2024-01-23 20:35:13,0.4793
2024-01-23 20:34:13,0.4679
2024-01-23 20:33:13,0.4823
2024-01-23 20:32:13,0.4801
2024-01-23 20:31:13,0.4877
2024-01-23 20:30:13,0.4725
2024-01-23 20:29:13,0.4846
2024-01-23 20:28:13,0.4690
2024-01-23 20:27:13,0.4772
2024-01-23 20:26:13,0.4784
2024-01-23 20:25:13,0.4807
2024-01-23 20:24:13,0.4706
